Name,Type,Category,Country,lat,lon,test
Super Farmacia Altagracia,node,pharmacy,DO,18.5023819,-69.902085,18.5023819 / -69.902085
Farmacia Fantino,node,pharmacy,DO,18.4915236,-69.8980632,18.4915236 / -69.8980632
Los Hidalgos,node,pharmacy,DO,18.4765448,-69.9117918,18.4765448 / -69.9117918
Farmacia Shalimar's,node,pharmacy,DO,19.4598361,-70.661176,19.4598361 / -70.661176
Pharma Salud,node,pharmacy,DO,19.4645043,-70.6703225,19.4645043 / -70.6703225
Luz Divina,node,pharmacy,DO,18.4745252,-69.8567147,18.4745252 / -69.8567147
unknown name,node,pharmacy,DO,18.4871208,-69.9142853,18.4871208 / -69.9142853
Farmacia Los Multi,node,pharmacy,DO,18.5019263,-69.9152046,18.5019263 / -69.9152046
unknown name,node,pharmacy,DO,18.5080009,-69.9151508,18.5080009 / -69.9151508
Farma Xtra,node,pharmacy,DO,18.4839077,-69.9594988,18.4839077 / -69.9594988
Farmacia Marine Cruz,node,pharmacy,DO,18.5187898,-69.9175059,18.5187898 / -69.9175059
unknown name,node,pharmacy,DO,18.4756118,-69.9065325,18.4756118 / -69.9065325
Farmacia Mercado,node,pharmacy,DO,19.4660603,-70.6656201,19.4660603 / -70.6656201
Farmacias Fuente-San Luis,node,pharmacy,DO,19.469274,-70.7104209,19.469274 / -70.7104209
Farmacia Villa Claudia,node,pharmacy,DO,18.5010424,-69.9895928,18.5010424 / -69.9895928
Farmacia Ana Maria,node,pharmacy,DO,19.471028,-70.7113088,19.471028 / -70.7113088
Farmacia Raymy,node,pharmacy,DO,18.5229944,-69.9152772,18.5229944 / -69.9152772
Farmacia Ian,node,pharmacy,DO,18.5181072,-69.9068294,18.5181072 / -69.9068294
Farmacia,node,pharmacy,DO,19.4804722,-70.7181698,19.4804722 / -70.7181698
Farmacia Las 3N,node,pharmacy,DO,19.424682,-70.7126029,19.424682 / -70.7126029
Farmacia San Martin,node,pharmacy,DO,18.5298736,-69.908352,18.5298736 / -69.908352
Farmacia Buena Vista,node,pharmacy,DO,18.5306775,-69.906695,18.5306775 / -69.906695
